,index,status,kw,go,score,n_kwgo,n_kw,n_go,R,kw_name,go_name,kw_def,go_def
144,348,,KW-0795,GO:0042562,0.04,2,28,31,5,Thyroid hormone,hormone binding, Protein precursor of thyroid hormones which are secreted by the thymus gland and participate in the development of the lymphoid system as well as the maturation of the cellular immune response. Also used for proteins which bind thyroid hormones or thyroid hormone receptor antagonists,"Interacting selectively and non-covalently with any hormone, naturally occurring substances secreted by specialized cells that affect the metabolism or behavior of other cells possessing functional receptors for the hormone."
145,322,,KW-0930,GO:0004525,0.23,12,40,25,1,Antiviral protein,ribonuclease III activity, Protein with antiviral activity. Often this activity is fortuitous (e.g. a bacterial protein displaying anti-HIV activity),"Catalysis of the endonucleolytic cleavage of RNA with 5'-phosphomonoesters and 3'-OH termini; makes two staggered cuts in both strands of dsRNA, leaving a 3' overhang of 2 nt."
146,323,,KW-0930,GO:0004386,0.05,13,40,229,2,Antiviral protein,helicase activity, Protein with antiviral activity. Often this activity is fortuitous (e.g. a bacterial protein displaying anti-HIV activity),"Catalysis of the reaction: NTP + H2O = NDP + phosphate, to drive the unwinding of a DNA or RNA helix."
147,324,,KW-0930,GO:0045523,0.03,1,40,1,3,Antiviral protein,interleukin-27 receptor binding, Protein with antiviral activity. Often this activity is fortuitous (e.g. a bacterial protein displaying anti-HIV activity),Interacting selectively and non-covalently with the interleukin-27 receptor.
148,325,,KW-0930,GO:0016798,0.02,1,40,8,4,Antiviral protein,"hydrolase activity, acting on glycosyl bonds", Protein with antiviral activity. Often this activity is fortuitous (e.g. a bacterial protein displaying anti-HIV activity),Catalysis of the hydrolysis of any glycosyl bond.
149,326,,KW-0930,GO:0030247,0.02,1,40,17,5,Antiviral protein,polysaccharide binding, Protein with antiviral activity. Often this activity is fortuitous (e.g. a bacterial protein displaying anti-HIV activity),"Interacting selectively and non-covalently with any polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."
150,85,,KW-1071,GO:0022848,0.23,108,460,111,1,Ligand-gated ion channel,acetylcholine-gated cation-selective channel activity," Protein which forms or is a component of a ligand-gated channel Ligand-gated channels are transmembrane ion channels whose permeability is increased by the binding of a specific ligand, such as neurotransmitters, ionositol triphosphates, and cyclic nucleotides",Selectively enables the transmembrane transfer of a cation by a channel that opens upon binding acetylcholine.
151,86,,KW-1071,GO:0005234,0.14,66,460,75,2,Ligand-gated ion channel,extracellularly glutamate-gated ion channel activity," Protein which forms or is a component of a ligand-gated channel Ligand-gated channels are transmembrane ion channels whose permeability is increased by the binding of a specific ligand, such as neurotransmitters, ionositol triphosphates, and cyclic nucleotides",Enables the transmembrane transfer of an ion by a channel that opens when glutamate is  bound by the channel complex or one of its constituent parts on the extracellular side of the plasma membrane.
152,87,,KW-1071,GO:0004970,0.12,58,460,65,3,Ligand-gated ion channel,ionotropic glutamate receptor activity," Protein which forms or is a component of a ligand-gated channel Ligand-gated channels are transmembrane ion channels whose permeability is increased by the binding of a specific ligand, such as neurotransmitters, ionositol triphosphates, and cyclic nucleotides",Catalysis of the transmembrane transfer of an ion by a channel that opens when glutamate has been bound by the channel complex or one of its constituent parts.
153,88,,KW-1071,GO:0005249,0.1,44,460,45,4,Ligand-gated ion channel,voltage-gated potassium channel activity," Protein which forms or is a component of a ligand-gated channel Ligand-gated channels are transmembrane ion channels whose permeability is increased by the binding of a specific ligand, such as neurotransmitters, ionositol triphosphates, and cyclic nucleotides",Enables the transmembrane transfer of a potassium ion by a voltage-gated channel. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded.
154,89,,KW-1071,GO:0005230,0.1,45,460,49,5,Ligand-gated ion channel,extracellular ligand-gated ion channel activity," Protein which forms or is a component of a ligand-gated channel Ligand-gated channels are transmembrane ion channels whose permeability is increased by the binding of a specific ligand, such as neurotransmitters, ionositol triphosphates, and cyclic nucleotides",Enables the transmembrane transfer of an ion by a channel that opens when a specific extracellular ligand has been bound by the channel complex or one of its constituent parts.
155,158,,KW-0117,GO:0003779,0.22,96,168,367,1,Actin capping,actin binding, Protein that binds to the free end of the actin filament and thereby blocks further addition of subunits,"Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments."
156,159,,KW-0117,GO:0051015,0.18,70,168,289,2,Actin capping,actin filament binding, Protein that binds to the free end of the actin filament and thereby blocks further addition of subunits,"Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."
157,160,,KW-0117,GO:0005546,0.05,10,168,27,3,Actin capping,"phosphatidylinositol-4,5-bisphosphate binding", Protein that binds to the free end of the actin filament and thereby blocks further addition of subunits,"Interacting selectively and non-covalently with phosphatidylinositol-4,5-bisphosphate, a derivative of phosphatidylinositol in which the inositol ring is phosphorylated at the 4' and 5' positions."
158,161,,KW-0117,GO:0045296,0.05,16,168,187,4,Actin capping,cadherin binding, Protein that binds to the free end of the actin filament and thereby blocks further addition of subunits,"Interacting selectively and non-covalently with cadherin, a type I membrane protein involved in cell adhesion."
159,162,,KW-0117,GO:0035727,0.03,5,168,11,5,Actin capping,lysophosphatidic acid binding, Protein that binds to the free end of the actin filament and thereby blocks further addition of subunits,"Interacting selectively and non-covalently with lysophosphatidic acid (LPA), a phospholipid derivative that acts as a potent mitogen due to its activation of high-affinity G-protein-coupled receptors."
160,109,,KW-0638,GO:0102567,0.22,101,307,251,1,Presynaptic neurotoxin,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)", Protein which acts as a neurotoxin at the presynaptic membrane and usually blocks neuromuscular transmission,"Catalysis of the reaction: 1,2-dihexadecanoyl-sn-glycero-3-phosphocholine + H2O = 1-hexadecanoyl-sn-glycero-3-phosphocholine + hexadecanoate + H+"
161,110,,KW-0638,GO:0004623,0.21,98,307,268,2,Presynaptic neurotoxin,phospholipase A2 activity, Protein which acts as a neurotoxin at the presynaptic membrane and usually blocks neuromuscular transmission,Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
162,111,,KW-0638,GO:0102568,0.2,91,307,230,3,Presynaptic neurotoxin,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)", Protein which acts as a neurotoxin at the presynaptic membrane and usually blocks neuromuscular transmission,Catalysis of the reaction: 1-18:1-2-18:1-phosphatidylethanolamine + H2O = 1-oleoyl-sn-glycero-3-phosphoethanolamine  + oleate + H+
163,112,,KW-0638,GO:0005509,0.08,84,307,896,4,Presynaptic neurotoxin,calcium ion binding, Protein which acts as a neurotoxin at the presynaptic membrane and usually blocks neuromuscular transmission,Interacting selectively and non-covalently with calcium ions (Ca2+).
164,113,,KW-0638,GO:0090729,0.07,286,307,4145,5,Presynaptic neurotoxin,toxin activity, Protein which acts as a neurotoxin at the presynaptic membrane and usually blocks neuromuscular transmission,"Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
165,119,,KW-0681,GO:0008020,0.22,60,267,64,1,Retinal protein,G-protein coupled photoreceptor activity," Protein found in the retina or, in the case of bacteriorhodopsin, in the purple membrane of halobacteria, and which acts as a photoreceptor and which binds a retinal chromophore","Combining with incidental electromagnetic radiation, particularly visible light, and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex."
166,120,,KW-0681,GO:0009881,0.19,86,267,271,2,Retinal protein,photoreceptor activity," Protein found in the retina or, in the case of bacteriorhodopsin, in the purple membrane of halobacteria, and which acts as a photoreceptor and which binds a retinal chromophore","The function of absorbing and responding to incidental electromagnetic radiation, particularly visible light. The response may involve a change in conformation."
167,121,,KW-0681,GO:0004930,0.09,154,267,1565,3,Retinal protein,G-protein coupled receptor activity," Protein found in the retina or, in the case of bacteriorhodopsin, in the purple membrane of halobacteria, and which acts as a photoreceptor and which binds a retinal chromophore",Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.
168,122,,KW-0681,GO:0005216,0.08,26,267,105,4,Retinal protein,ion channel activity," Protein found in the retina or, in the case of bacteriorhodopsin, in the purple membrane of halobacteria, and which acts as a photoreceptor and which binds a retinal chromophore",Enables the facilitated diffusion of an ion (by an energy-independent process) by passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. May be either selective (it enables passage of a specific ion only) or non-selective (it enables passage of two or more ions of same charge but different size).
169,123,,KW-0681,GO:0005502,0.02,5,267,6,5,Retinal protein,11-cis retinal binding," Protein found in the retina or, in the case of bacteriorhodopsin, in the purple membrane of halobacteria, and which acts as a photoreceptor and which binds a retinal chromophore","Interacting selectively and non-covalently with 11-cis retinal, an isomer of retinal that plays an important role in the visual process in most vertebrates. 11-cis retinal combines with opsin in the rods (scotopsin) to form rhodopsin or visual purple. Retinal is one of the three compounds that makes up vitamin A."
170,173,,KW-0295,GO:0008061,0.21,41,157,76,1,Fungicide,chitin binding, Protein capable of killing or inhibiting growth of fungi,"Interacting selectively and non-covalently with chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues."
171,174,,KW-0295,GO:0004568,0.04,6,157,19,2,Fungicide,chitinase activity, Protein capable of killing or inhibiting growth of fungi,Catalysis of the hydrolysis of (1->4)-beta linkages of N-acetyl-D-glucosamine (GlcNAc) polymers of chitin and chitodextrins.
172,175,,KW-0295,GO:0004867,0.03,9,157,146,3,Fungicide,serine-type endopeptidase inhibitor activity, Protein capable of killing or inhibiting growth of fungi,"Stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme."
173,176,,KW-0295,GO:0008289,0.03,8,157,108,4,Fungicide,lipid binding, Protein capable of killing or inhibiting growth of fungi,Interacting selectively and non-covalently with a lipid.
174,177,,KW-0295,GO:0045735,0.03,5,157,19,5,Fungicide,nutrient reservoir activity, Protein capable of killing or inhibiting growth of fungi,Functions in the storage of nutritious substrates.
175,25,,KW-0675,GO:0004930,0.21,1440,6753,1565,1,Receptor,G-protein coupled receptor activity," Protein which binds to, or responds to, a ligand with high specificity",Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.
176,26,,KW-0675,GO:0004984,0.06,436,6753,436,2,Receptor,olfactory receptor activity," Protein which binds to, or responds to, a ligand with high specificity",Combining with an odorant and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity in response to detection of smell.
177,27,,KW-0675,GO:0005524,0.05,704,6753,7412,3,Receptor,ATP binding," Protein which binds to, or responds to, a ligand with high specificity","Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
178,28,,KW-0675,GO:0008270,0.05,386,6753,2161,4,Receptor,zinc ion binding," Protein which binds to, or responds to, a ligand with high specificity",Interacting selectively and non-covalently with zinc (Zn) ions.
179,29,,KW-0675,GO:0004872,0.05,352,6753,404,5,Receptor,receptor activity," Protein which binds to, or responds to, a ligand with high specificity",Combining with an extracellular or intracellular messenger to initiate a change in cell activity.
180,334,,KW-0529,GO:0001515,0.2,11,34,32,1,Neurotransmitter,opioid peptide activity," Protein, released by the axon terminal in response to an electrical impulse, which travels across the synapse to either excite or inhibit the target cell","Naturally occurring peptide that is an opioid (any non-alkaloid having an opiate-like effect that can be reversed by naloxone or other recognized morphine antagonist). These include Leu- and Met-enkephalin, dynorphin and neoendorphin, alpha, beta, gamma and delta endorphins formed from beta-lipotropin, various pronase-resistant peptides such as beta casamorphin, and other peptides whose opiate-like action seems to be indirect."
181,335,,KW-0529,GO:0031628,0.2,8,34,14,2,Neurotransmitter,opioid receptor binding," Protein, released by the axon terminal in response to an electrical impulse, which travels across the synapse to either excite or inhibit the target cell",Interacting selectively and non-covalently with an opioid receptor.
182,336,,KW-0529,GO:0031835,0.08,3,34,6,3,Neurotransmitter,substance P receptor binding," Protein, released by the axon terminal in response to an electrical impulse, which travels across the synapse to either excite or inhibit the target cell",Interacting selectively and non-covalently with a substance P receptor.
183,337,,KW-0529,GO:0005184,0.05,13,34,267,4,Neurotransmitter,neuropeptide hormone activity," Protein, released by the axon terminal in response to an electrical impulse, which travels across the synapse to either excite or inhibit the target cell","The action characteristic of a neuropeptide hormone, any peptide hormone that acts in the central nervous system. A neuropeptide is any of several types of molecules found in brain tissue, composed of short chains of amino acids; they include endorphins, enkephalins, vasopressin, and others. They are often localized in axon terminals at synapses and are classified as putative neurotransmitters, although some are also hormones."
184,338,,KW-0529,GO:0005326,0.03,1,34,2,5,Neurotransmitter,neurotransmitter transporter activity," Protein, released by the axon terminal in response to an electrical impulse, which travels across the synapse to either excite or inhibit the target cell","Enables the directed movement of a neurotransmitter into, out of or within a cell, or between cells. Neurotransmitters are any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell."
185,45,,KW-0929,GO:0003796,0.19,182,939,192,1,Antimicrobial,lysozyme activity," Protein which has deleterious effects on any type of microbe. Microbe is a general term for microscopic unicellular organisms, such as bacteria, archaea, fungi and protista. While the term microbe is often also used for viruses, we do not apply the keyword antimicrobial to antiviral proteins",Catalysis of the hydrolysis of the beta-(1->4) linkages between N-acetylmuramic acid and N-acetyl-D-glucosamine residues in a peptidoglycan.
186,46,,KW-0929,GO:0008061,0.05,51,939,76,2,Antimicrobial,chitin binding," Protein which has deleterious effects on any type of microbe. Microbe is a general term for microscopic unicellular organisms, such as bacteria, archaea, fungi and protista. While the term microbe is often also used for viruses, we do not apply the keyword antimicrobial to antiviral proteins","Interacting selectively and non-covalently with chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues."
187,47,,KW-0929,GO:0005102,0.04,48,939,406,3,Antimicrobial,receptor binding," Protein which has deleterious effects on any type of microbe. Microbe is a general term for microscopic unicellular organisms, such as bacteria, archaea, fungi and protista. While the term microbe is often also used for viruses, we do not apply the keyword antimicrobial to antiviral proteins","Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."
188,48,,KW-0929,GO:0090729,0.04,213,939,4145,4,Antimicrobial,toxin activity," Protein which has deleterious effects on any type of microbe. Microbe is a general term for microscopic unicellular organisms, such as bacteria, archaea, fungi and protista. While the term microbe is often also used for viruses, we do not apply the keyword antimicrobial to antiviral proteins","Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
189,49,,KW-0929,GO:0030414,0.04,38,939,49,5,Antimicrobial,peptidase inhibitor activity," Protein which has deleterious effects on any type of microbe. Microbe is a general term for microscopic unicellular organisms, such as bacteria, archaea, fungi and protista. While the term microbe is often also used for viruses, we do not apply the keyword antimicrobial to antiviral proteins","Stops, prevents or reduces the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."
190,134,,KW-0941,GO:0008026,0.19,51,230,91,1,Suppressor of RNA silencing,ATP-dependent helicase activity," Protein which suppresses host RNA-mediated gene silencing. The most common form of RNA-mediated gene silencing is RNA interference (RNAi), a sequence-specific RNA-degradation mechanism that operates as a natural antiviral system in plants and invertebrates cells. RNAi is mediated by small interfering RNAs (siRNA) of about 21- to 25-nt that target homologous RNAs for destruction. RNA silencing by endogenous micro-RNAs (miRNAs) may also play a role in the antiviral defences of mammals. miRNAs differ from siRNAs in that they generally base pair imperfectly with target RNAs and inhibit their translation by an unknown mechanism","Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the unwinding of a DNA or RNA helix."
191,135,,KW-0941,GO:0003968,0.19,57,230,131,2,Suppressor of RNA silencing,RNA-directed 5'-3' RNA polymerase activity," Protein which suppresses host RNA-mediated gene silencing. The most common form of RNA-mediated gene silencing is RNA interference (RNAi), a sequence-specific RNA-degradation mechanism that operates as a natural antiviral system in plants and invertebrates cells. RNAi is mediated by small interfering RNAs (siRNA) of about 21- to 25-nt that target homologous RNAs for destruction. RNA silencing by endogenous micro-RNAs (miRNAs) may also play a role in the antiviral defences of mammals. miRNAs differ from siRNAs in that they generally base pair imperfectly with target RNAs and inhibit their translation by an unknown mechanism","Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1); uses an RNA template, i.e. the catalysis of RNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time."
192,136,,KW-0941,GO:0004197,0.18,49,230,93,3,Suppressor of RNA silencing,cysteine-type endopeptidase activity," Protein which suppresses host RNA-mediated gene silencing. The most common form of RNA-mediated gene silencing is RNA interference (RNAi), a sequence-specific RNA-degradation mechanism that operates as a natural antiviral system in plants and invertebrates cells. RNAi is mediated by small interfering RNAs (siRNA) of about 21- to 25-nt that target homologous RNAs for destruction. RNA silencing by endogenous micro-RNAs (miRNAs) may also play a role in the antiviral defences of mammals. miRNAs differ from siRNAs in that they generally base pair imperfectly with target RNAs and inhibit their translation by an unknown mechanism","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."
193,137,,KW-0941,GO:0003724,0.17,39,230,44,4,Suppressor of RNA silencing,RNA helicase activity," Protein which suppresses host RNA-mediated gene silencing. The most common form of RNA-mediated gene silencing is RNA interference (RNAi), a sequence-specific RNA-degradation mechanism that operates as a natural antiviral system in plants and invertebrates cells. RNAi is mediated by small interfering RNAs (siRNA) of about 21- to 25-nt that target homologous RNAs for destruction. RNA silencing by endogenous micro-RNAs (miRNAs) may also play a role in the antiviral defences of mammals. miRNAs differ from siRNAs in that they generally base pair imperfectly with target RNAs and inhibit their translation by an unknown mechanism","Catalysis of the reaction: NTP + H2O = NDP + phosphate, to drive the unwinding of a RNA helix."
194,138,,KW-0941,GO:0004483,0.15,34,230,34,5,Suppressor of RNA silencing,mRNA (nucleoside-2'-O-)-methyltransferase activity," Protein which suppresses host RNA-mediated gene silencing. The most common form of RNA-mediated gene silencing is RNA interference (RNAi), a sequence-specific RNA-degradation mechanism that operates as a natural antiviral system in plants and invertebrates cells. RNAi is mediated by small interfering RNAs (siRNA) of about 21- to 25-nt that target homologous RNAs for destruction. RNA silencing by endogenous micro-RNAs (miRNAs) may also play a role in the antiviral defences of mammals. miRNAs differ from siRNAs in that they generally base pair imperfectly with target RNAs and inhibit their translation by an unknown mechanism",Catalysis of the reaction: S-adenosyl-L-methionine + m7G(5')pppR-RNA = S-adenosyl-L-homocysteine + m7G(5')pppRm-RNA. R may be guanosine or adenosine.
195,222,,KW-1203,GO:0004623,0.19,60,105,268,1,Blood coagulation cascade inhibiting toxin,phospholipase A2 activity," Toxin which inhibits the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation inhibiting toxins include a variety of snake venom proteases",Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
196,223,,KW-1203,GO:0102568,0.18,50,105,230,2,Blood coagulation cascade inhibiting toxin,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)"," Toxin which inhibits the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation inhibiting toxins include a variety of snake venom proteases",Catalysis of the reaction: 1-18:1-2-18:1-phosphatidylethanolamine + H2O = 1-oleoyl-sn-glycero-3-phosphoethanolamine  + oleate + H+
197,224,,KW-1203,GO:0102567,0.17,52,105,251,3,Blood coagulation cascade inhibiting toxin,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)"," Toxin which inhibits the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation inhibiting toxins include a variety of snake venom proteases","Catalysis of the reaction: 1,2-dihexadecanoyl-sn-glycero-3-phosphocholine + H2O = 1-hexadecanoyl-sn-glycero-3-phosphocholine + hexadecanoate + H+"
198,225,,KW-1203,GO:0005509,0.06,58,105,896,4,Blood coagulation cascade inhibiting toxin,calcium ion binding," Toxin which inhibits the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation inhibiting toxins include a variety of snake venom proteases",Interacting selectively and non-covalently with calcium ions (Ca2+).
199,226,,KW-1203,GO:0090729,0.02,80,105,4145,5,Blood coagulation cascade inhibiting toxin,toxin activity," Toxin which inhibits the blood coagulation cascade, which leads to the production of fibrin clots. Blood coagulation inhibiting toxins include a variety of snake venom proteases","Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
200,143,,KW-1217,GO:0004222,0.19,62,207,180,1,Cell adhesion impairing toxin,metalloendopeptidase activity, Toxin which interferes with the adherence of cells to other cells or to a matrix. Cell adhesion impairing toxins are mostly found in venom of snakes,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
201,144,,KW-1217,GO:0008237,0.04,10,207,70,2,Cell adhesion impairing toxin,metallopeptidase activity, Toxin which interferes with the adherence of cells to other cells or to a matrix. Cell adhesion impairing toxins are mostly found in venom of snakes,"Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
202,145,,KW-1217,GO:0090729,0.04,172,207,4145,3,Cell adhesion impairing toxin,toxin activity, Toxin which interferes with the adherence of cells to other cells or to a matrix. Cell adhesion impairing toxins are mostly found in venom of snakes,"Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
203,146,,KW-1217,GO:0016504,0.03,6,207,29,4,Cell adhesion impairing toxin,peptidase activator activity, Toxin which interferes with the adherence of cells to other cells or to a matrix. Cell adhesion impairing toxins are mostly found in venom of snakes,"Binds to and increases the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."
204,147,,KW-1217,GO:0016787,0.01,2,207,110,5,Cell adhesion impairing toxin,hydrolase activity, Toxin which interferes with the adherence of cells to other cells or to a matrix. Cell adhesion impairing toxins are mostly found in venom of snakes,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."
205,396,,KW-0776,GO:0045735,0.18,4,7,19,1,Taste-modifying protein,nutrient reservoir activity, Protein that function as a natural sweetener or flavor enhancer. TMPs are found in the fruit or seed of several plants and show no primary sequence similarity. TMPs interact with taste receptors in a potent and specific manner. TMPs are natural and have been used by some cultures for centuries. West Africans have long used TMPs to improve flavor and suppress bitterness of food and drink,Functions in the storage of nutritious substrates.
206,397,,KW-0776,GO:0004866,0.06,1,7,10,2,Taste-modifying protein,endopeptidase inhibitor activity, Protein that function as a natural sweetener or flavor enhancer. TMPs are found in the fruit or seed of several plants and show no primary sequence similarity. TMPs interact with taste receptors in a potent and specific manner. TMPs are natural and have been used by some cultures for centuries. West Africans have long used TMPs to improve flavor and suppress bitterness of food and drink,"Stops, prevents or reduces the activity of an endopeptidase, any enzyme that hydrolyzes nonterminal peptide bonds in polypeptides."
207,398,,KW-0776,GO:0030246,0.01,2,7,335,3,Taste-modifying protein,carbohydrate binding, Protein that function as a natural sweetener or flavor enhancer. TMPs are found in the fruit or seed of several plants and show no primary sequence similarity. TMPs interact with taste receptors in a potent and specific manner. TMPs are natural and have been used by some cultures for centuries. West Africans have long used TMPs to improve flavor and suppress bitterness of food and drink,"Interacting selectively and non-covalently with any carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates."
208,273,,KW-0709,GO:0016015,0.17,13,60,28,1,Segmentation polarity protein,morphogen activity," Protein involved in the division of the embryo into segments and which is responsible for determining the internal polarity of the segments Segment polarity gene mutations are lethal and change the pattern and, often the polarity, of every segment",Acts as a trigger for a pattern specification process when present at a specific concentration within a gradient.
209,274,,KW-0709,GO:0017147,0.1,13,60,89,2,Segmentation polarity protein,Wnt-protein binding," Protein involved in the division of the embryo into segments and which is responsible for determining the internal polarity of the segments Segment polarity gene mutations are lethal and change the pattern and, often the polarity, of every segment","Interacting selectively and non-covalently with Wnt-protein, a secreted growth factor involved in signaling."
210,275,,KW-0709,GO:0008233,0.03,4,60,102,3,Segmentation polarity protein,peptidase activity," Protein involved in the division of the embryo into segments and which is responsible for determining the internal polarity of the segments Segment polarity gene mutations are lethal and change the pattern and, often the polarity, of every segment",Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.
211,276,,KW-0709,GO:0019900,0.03,4,60,61,4,Segmentation polarity protein,kinase binding," Protein involved in the division of the embryo into segments and which is responsible for determining the internal polarity of the segments Segment polarity gene mutations are lethal and change the pattern and, often the polarity, of every segment","Interacting selectively and non-covalently with a kinase, any enzyme that catalyzes the transfer of a phosphate group."
212,277,,KW-0709,GO:0045294,0.03,2,60,15,5,Segmentation polarity protein,alpha-catenin binding," Protein involved in the division of the embryo into segments and which is responsible for determining the internal polarity of the segments Segment polarity gene mutations are lethal and change the pattern and, often the polarity, of every segment",Interacting selectively and non-covalently with the alpha subunit of the catenin complex.
213,129,,KW-0838,GO:0005179,0.17,109,243,489,1,Vasoactive,hormone activity," Protein which is vasoactive, i.e. has a constricting or dilating effect on the caliber of blood vessels","The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process."
214,130,,KW-0838,GO:0031708,0.07,17,243,17,2,Vasoactive,endothelin B receptor binding," Protein which is vasoactive, i.e. has a constricting or dilating effect on the caliber of blood vessels",Interacting selectively and non-covalently with an endothelin B receptor.
215,131,,KW-0838,GO:0008191,0.06,15,243,29,3,Vasoactive,metalloendopeptidase inhibitor activity," Protein which is vasoactive, i.e. has a constricting or dilating effect on the caliber of blood vessels","Stops, prevents or reduces the activity of metalloendopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain and contain a chelated metal ion at their active sites which is essential to their catalytic activity."
216,132,,KW-0838,GO:0051427,0.04,10,243,11,4,Vasoactive,hormone receptor binding," Protein which is vasoactive, i.e. has a constricting or dilating effect on the caliber of blood vessels",Interacting selectively and non-covalently with a receptor for hormones.
217,133,,KW-0838,GO:0005102,0.03,17,243,406,5,Vasoactive,receptor binding," Protein which is vasoactive, i.e. has a constricting or dilating effect on the caliber of blood vessels","Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."
